VariableName,Form,VariableType,ShortDescriptor,DataType,AllowableCodes
HISPOR,a1,Original UDS question,Hispanic origins,Numeric cross-sectional," 1 = Mexican, Chicano, or Mexican-American 
2 = Puerto Rican 
3 = Cuban 
4 = Dominican 
5 = Central American 
6 = South American 
50 = Other (specify)
88 = Not applicable; subject is not Hispanic
99 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
HISPORX,a1,Original UDS question,"Hispanic origins, other- specify",Character cross-sectional, Any text or numbers
RACE,a1,Original UDS question,Race,Numeric cross-sectional," 1 = White 
2 = Black or African American
3 = American Indian or Alaska Native
4 = Native Hawaiian or Other Pacific Islander
5 = Asian 
50 = Other (specify)
99 = Unknown"
RACEX,a1,Original UDS question,"Race, other - specify",Character cross-sectional, Any text or numbers
RACESEC,a1,Original UDS question,Second race,Numeric cross-sectional," 1 = White 
2 = Black or African American
3 = American Indian or Alaska Native
4 = Native Hawaiian or Other Pacific Islander
5 = Asian 
50 = Other (specify)
88 = None reported
99 = Unknown"
RACESECX,a1,Original UDS question,"Second race, other- specify",Character cross-sectional, Any text or numbers
RACETER,a1,Original UDS question,Third race,Numeric cross-sectional," 1 = White 
2 = Black or African American
3 = American Indian or Alaska Native
4 = Native Hawaiian or Other Pacific Islander
5 = Asian 
50 = Other (specify)
88 = None reported
99 = Unknown"
RACETERX,a1,Original UDS question,"Third race, other- specify",Character cross-sectional, Any text or numbers
PRIMLANG,a1,Original UDS question,Primary language,Numeric cross-sectional," 1 = English 
2 = Spanish 
3 = Mandarin 
4 = Cantonese 
5 = Russian 
6 = Japanese 
8 = Other primary language (specify) 
9 = Unknown"
PRIMLANX,a1,Original UDS question,"Primary language, other- specify",Character cross-sectional, Any text or numbers
EDUC,a1,Original UDS question,Years of education,Numeric cross-sectional," 0  - 36
99 = Unknown"
MARISTAT,a1,Original UDS question,Marital status,Numeric longitudinal," 1 = Married 
2 = Widowed 
3 = Divorced 
4 = Separated 
5 = Never married (or marriage was annulled) 
6 = Living as married/domestic partner
9 = Other or unknown"
NACCLIVS,a1,NACC derived variable,Living situation,Numeric longitudinal," 1 = Lives alone
2 = Lives with spouse or partner 
3 = Lives with relative or friend 
4 = Lives with group 
5 = Other 
9 = Unknown"
INDEPEND,a1,Original UDS question,Level of independence,Numeric longitudinal," 1 = Able to live independently 
2 = Requires some assistance with complex activities 
3 = Requires some assistance with basic activities 
4 = Completely dependent 
9 = Unknown"
RESIDENC,a1,Original UDS question,Type of residence,Numeric longitudinal," 1 = Single- or multi-family private residence 
			(apartment, condo, house) 
2 = Retirement community or independent group living 
3 = Assisted living, adult family home, or boarding home 
4 = Skilled nursing facility, nursing home, hospital, or hospice 
9 = Other or unknown"
HANDED,a1,Original UDS question,Is the subject left- or right-handed?,Numeric cross-sectional," 1 = Left-handed 
2 = Right-handed 
3 = Ambidextrous 
9 = Unknown"
NACCAGE,a1,NACC derived variable,Subject's age at visit,Numeric longitudinal, 18  - 120
NACCAGEB,a1,NACC derived variable,Subject's age at initial visit,Numeric cross-sectional, 18  - 120
NACCNIHR,a1,NACC derived variable,Derived NIH race definitions,Numeric cross-sectional," 1 = White 
2 = Black or African American 
3 = American Indian or Alaska Native 
4 = Native Hawaiian or Pacific Islander 
5 = Asian 
6 = Multiracial 
99 = Unknown or ambiguous"
INBIRMO,a2,Original UDS question,Co-participant's month of birth,Numeric longitudinal," 1 -12
99 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
INBIRYR,a2,Original UDS question,Co-participant's year of birth,Numeric longitudinal," 1875 to (current year minus 15)
9999 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
INSEX,a2,Original UDS question,Co-participant's sex,Numeric longitudinal," 1 = Male
2 = Female
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
NEWINF,a2,Original UDS question,"Is this a new co-participant - i.e., one who was not a co-participant at any past UDS visit?",Numeric longitudinal," 0 = No
1 = Yes
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
INHISP,a2,Original UDS question,Co-participant Hispanic/Latino ethnicity,Numeric longitudinal," 0 = No
1 = Yes
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
INHISPOR,a2,Original UDS question,Co-participant's Hispanic origins,Numeric longitudinal," 1 = Mexican, Chicano, or Mexican-American
2 = Puerto Rican
3 = Cuban
4 = Dominican
5 = Central American
6 = South American
50 = Other (specify)
88 = Not applicable, co-participant is not Hispanic
99 = Unknown
-4 = 	Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
INHISPOX,a2,Original UDS question,"Co-participant of Hispanic origins, other (specify)",Character longitudinal, Any text or numbers
INRACE,a2,Original UDS question,Co-participant race,Numeric longitudinal," 1 = 	White
2 = 	Black or African American
3 = 	American Indian or Alaska Native
4 = 	Native Hawaiian or Other Pacific Islander
5 = 	Asian
50 = Other (specify)
99 = Unknown
-4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question
Description/derivation:	Note that if there is no change in co-participant at a follow-up visit, the co-participant data from a previous visit (visit where reported) will be carried forward to the current visit."
INRACEX,a2,Original UDS question,"Co-participant race, other (specify)",Character longitudinal, Any text or numbers
INRASEC,a2,Original UDS question,Co-participant second race,Numeric longitudinal," 1 = 	White
2 = 	Black or African American
3 = 	American Indian or Alaska Native
4 = 	Native Hawaiian or Other Pacific Islander
5 = 	Asian
50 = Other
88 = None reported
99 = Unknown
-4 = 	Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question
Description/derivation:	Note that if there is no change in co-participant at a follow-up visit, the co-participant data from a previous visit (visit where reported) will be carried forward to the current visit."
INRASECX,a2,Original UDS question,"Co-participant second race, other (specify)",Character longitudinal, Any text or numbers
INRATER,a2,Original UDS question,Co-participant third race,Numeric longitudinal," 1 = White
2 = Black or African American
3 = American Indian or Alaska Native
4 = Native Hawaiian or Other Pacific Islander
5 = Asian
50 = Other
88 = None reported
99 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
INRATERX,a2,Original UDS question,"Co-participant third race, other (specify)",Character longitudinal, Any text or numbers
INEDUC,a2,Original UDS question,Co-participant's years of education,Numeric longitudinal," 0 - 36
99 = Unknown
-4 = 	Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question
Description/derivation:	Note that if there is no change in co-participant at a follow-up visit, the co-participant data from a previous visit (visit where reported) will be carried forward to the current visit."
INRELTO,a2,Original UDS question,Co-participant's relationship to subject,Numeric longitudinal," 1 = 	Spouse, partner, or companion
2 = 	Child
3 = 	Sibling
4 = 	Other relative
5 = 	Friend, neighbor, or someone known through family, friends, work, or community
6 = 	Paid caregiver, health care provider, or clinician
7 = 	Other
-4 = 	Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question
Description/derivation:	Note that if there is no change in co-participant at a follow-up visit, the co-participant data from a previous visit (visit where reported) will be carried forward to the current visit."
INRELTOX,a2,Original UDS question,"Co-participant relationship, other (specify)",Character longitudinal, Any text or numbers
INKNOWN,a2,Original UDS question,How long has the co-participant known the subject?,Numeric longitudinal," 0 -120
999 = Unknown
-4 = 	Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question 
Description/derivation:	Note that if there is no change in co-participant at a follow-up visit, the co-participant data from a previous visit (visit where reported) will be carried forward to the current visit."
INLIVWTH,a2,Original UDS question,Does the co-participant live with the subject?,Numeric longitudinal," 0 = 	No
1 = 	Yes
-4 = 	Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
INVISITS,a2,Original UDS question,"If no, approximate frequency of in-person visits?",Numeric longitudinal," 1 = 	Daily
2 = 	At least 3 times per week
3 = 	Weekly
4 = 	At least 3 times per month
5 = 	Monthly
6 = 	Less than once a month
8 = 	Not applicable, co-participant lives with subject
-4 = 	Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
INCALLS,a2,Original UDS question,"If no, approximate frequency of telephone contact?",Numeric longitudinal," 1 = 	Daily
2 = 	At least 3 times per week
3 = 	Weekly
4 = 	At least 3 times per month
5 = 	Monthly
6 = 	Less than once a month
8 = 	Not applicable, co-participant lives with subject
-4 = 	Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
INRELY,a2,Original UDS question,Is there a question about the co-participant's reliability?,Numeric longitudinal," 0 = 	No
1 = 	Yes
-4 = 	Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
NACCNINR,a2,NACC derived variable,Derived NIH race definitions,Numeric longitudinal," 1 = 	White 
2 = 	Black or African American 
3 = 	American Indian or Alaska Native 
4 = 	Native Hawaiian or Pacific Islander 
5 = 	Asian 
6 = 	Multiracial 
99 = Unknown or ambiguous
-4 = 	Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
NACCFAM,a3,NACC derived variable,Indicator of first-degree family member with cognitive impairment,Numeric cross-sectional," 0 = No report of a first-degree family member with cognitive impairment
1 = Report of at least one first-degree family member with cognitive impairment
9 = Unknown
-4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes re-sponse to this question"
NACCMOM,a3,NACC derived variable,Indicator of mother with cognitive impairment,Numeric cross-sectional," 0 = No report of mother with cognitive
	      impairment
1 = Mother was reported to have cognitive impairment
9 = Unknown
-4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes re-sponse to this question"
NACCDAD,a3,NACC derived variable,Indicator of father with cognitive impairment,Numeric cross-sectional," 0 = No report of father with cognitive
			impairment
1 = Father was reported to have cognitive impairment
9 = Unknown
-4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes re-sponse to this question"
NACCFADM,a3,NACC derived variable,"In this family, is there evidence of a dominantly inherited AD mutation?",Numeric cross-sectional," 0 = No/unknown
1 = Yes"
NACCAM,a3,NACC derived variable,"In this family, is there evidence for an AD mutation (from list of specific muta-tions)?",Numeric cross-sectional," 0 = No		  
1 = Yes, APP
2 = Yes, PS-1 (PSEN-1)
3 = Yes, PS-2 (PSEN-2)
8 = Yes, other (specify)
9 = Unknown whether mutation exists
-4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes re-sponse to this question"
NACCAMX,a3,NACC derived variable,"If yes, Other (specify)",Character cross-sectional, Any text or numbers
NACCAMS,a3,NACC derived variable,Source of evidence for AD mutation,Numeric cross-sectional," 1 = Family report (no test documentation
	      available)
2 = Commercial test documentation
3 = Research lab test documentation
8 = Other (specify)
9 = Unknown 
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes re-sponse to this question"
NACCAMSX,a3,NACC derived variable,"If other, specify",Character cross-sectional, Any text or numbers
NACCFFTD,a3,NACC derived variable,"In this family, is there evidence for an 
FTLD mutation?",Numeric cross-sectional," 0 = No/unknown
1 = Yes"
NACCFM,a3,NACC derived variable,"In this family, is there evidence for an FTLD mutation (from list of specific mu-tations)?",Numeric cross-sectional," 0 = No		  
1 = Yes, MAPT
2 = Yes, PGRN
3 = Yes, C9orf72
4 = Yes, FUS
8 = Yes, Other (specify)
9 = Unknown whether mutation exists
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes re-sponse to this question"
NACCFMX,a3,NACC derived variable,"If yes, Other (specify)",Character cross-sectional, Any text or numbers
NACCFMS,a3,NACC derived variable,Source of evidence for FTLD mutation,Numeric cross-sectional," 1 = Family report (no test documentation 				availa-ble)
2 = Commercial test documentation
3 = Research lab test documentation
8 = Other (specify)
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes re-sponse to this question."
NACCFMSX,a3,NACC derived variable,"If other, specify",Character cross-sectional, Any text or numbers
NACCOM,a3,NACC derived variable,"In this family, is there evidence for a mutation other than an AD or FTLD muta-tion?",Numeric cross-sectional," 0 = No
1 = Yes (specify)
9 = Unknown whether mutation exists
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes re-sponse to this question"
NACCOMX,a3,NACC derived variable,Specified other mutation,Character cross-sectional, Any text or numbers
NACCOMS,a3,NACC derived variable,Source of evidence for other mutation,Numeric cross-sectional," 1 = Family report (no test documentation 				availa-ble)
2 = Commercial test documentation
3 = Research lab test documentation
8 = Other (specify)
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes re-sponse to this question."
NACCOMSX,a3,NACC derived variable,"If other, specify",Character cross-sectional, Any text or numbers
ANYMEDS,a4,Original UDS question,Subject taking any medications,Numeric longitudinal," 0 = No
1 = Yes
-4 = Did not complete medications form"
DRUG1 - DRUG40,a4,Original UDS question,Name of medications used within two weeks of UDS visit,Character longitudinal, Name of medication
NACCAMD,a4,NACC derived variable,Total number of medications reported at each visit,Numeric longitudinal," 0 - 40
-4 = Did not complete medications form"
NACCAHTN,a4,NACC derived variable,Reported current use of any type of an antihypertensive or blood pressure medication,Numeric longitudinal," 0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form"
NACCHTNC,a4,NACC derived variable,Reported current use of an antihypertensive combination therapy,Numeric longitudinal," 0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form"
NACCACEI,a4,NACC derived variable,Reported current use of an angiotensin converting enzyme (ACE) inhibitor,Numeric longitudinal," 0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form"
NACCAAAS,a4,NACC derived variable,Reported current use of an antiadrenergic agent,Numeric longitudinal," 0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form"
NACCBETA,a4,NACC derived variable,Reported current use of a beta-adrenergic blocking agent (Beta-Blocker),Numeric longitudinal," 0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form"
NACCCCBS,a4,NACC derived variable,Reported current use of a calcium channel blocking agent,Numeric longitudinal," 0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form"
NACCDIUR,a4,NACC derived variable,Reported current use of a diuretic,Numeric longitudinal," 0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form"
NACCVASD,a4,NACC derived variable,Reported current use of a vasodilator,Numeric longitudinal," 0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form"
NACCANGI,a4,NACC derived variable,Reported current use of an angiotensin II inhibitor,Numeric longitudinal," 0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form"
NACCLIPL,a4,NACC derived variable,Reported current use of lipid lowering medication,Numeric longitudinal," 0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form"
NACCNSD,a4,NACC derived variable,Reported current use of nonsteroidal anti-inflammatory medication,Numeric longitudinal," 0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form"
NACCAC,a4,NACC derived variable,Reported current use of an anticoagulant or antiplatelet agent,Numeric longitudinal," 0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form"
NACCADEP,a4,NACC derived variable,Reported current use of an antidepressant,Numeric longitudinal," 0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form"
NACCAPSY,a4,NACC derived variable,Reported current use of an antipsychotic agent,Numeric longitudinal," 0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form"
NACCAANX,a4,NACC derived variable,"Reported current use of an anxiolytic, sedative, or hypnotic agent",Numeric longitudinal," 0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form"
NACCADMD,a4,NACC derived variable,Reported current use of a FDA-approved medication for Alzheimer's disease symptoms,Numeric longitudinal," 0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form"
NACCPDMD,a4,NACC derived variable,Reported current use of an antiparkinson agent,Numeric longitudinal," 0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form"
NACCEMD,a4,NACC derived variable,Reported current use of estrogen hormone therapy,Numeric longitudinal," 0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form"
NACCEPMD,a4,NACC derived variable,Reported current use of estrogen + progestin hormone therapy,Numeric longitudinal," 0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form"
NACCDBMD,a4,NACC derived variable,Reported current use of a diabetes medication,Numeric longitudinal," 0 = Did not report use at visit
1 = Reported use at visit
-4 = Did not complete medications form"
TOBAC30,a5,Original UDS question,Smoked cigarettes in last 30 days,Numeric longitudinal," 0 = No
1 = Yes
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
TOBAC100,a5,Original UDS question,Smoked more than 100 cigarettes in life,Numeric longitudinal," 0 = No
1 = Yes
9 = Unknown
- 4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
SMOKYRS,a5,Original UDS question,Total years smoked cigarettes,Numeric longitudinal," 0 - 87 
		88 = Not applicable
		99 = Unknown 
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
PACKSPER,a5,Original UDS question,Average number of packs smoked per day,Numeric longitudinal," 0 = No reported cigarette use
1 = 1 cigarette to less than 1/2 pack 
2 = ½ pack to less than 1 pack 
3 = 1 pack to 1½ packs 
4 = 1½ packs to 2 packs 
5 = More than two packs
8 = Not applicable
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
QUITSMOK,a5,Original UDS question,"If the subject quit smoking, age at which he/she last smoked (i.e., quit)",Numeric longitudinal," 7 - 110 
888 = Not applicable, no significant 
  smoking history
999 = Unknown 
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
ALCOCCAS,a5,Original UDS question,"In the past three months, has the subject consumed any alcohol?",Numeric cross-sectional," 0 = No
1 = Yes
9 = Unknown 
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
ALCFREQ,a5,Original UDS question,"During the past three months, how often did the subject have at least one drink of any alcoholic beverage such as wine, beer, malt liquor, or spirits?",Numeric cross-sectional," 0 = Less than once a month 
1 = About once a month 
2 = About once a week 
3 = A few times a week 
4 = Daily or almost daily
8 = Not applicable, no alcohol consumption in last three months
9 = Unknown 
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
CVHATT,a5,Original UDS question,Heart attack/cardiac arrest,Numeric longitudinal," 0 = Absent
1 = Recent/Active
2 = Remote/Inactive
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
HATTMULT,a5,Original UDS question,More than one heart attack/cardiac arrest?,Numeric cross-sectional," 0 = No
1 = Yes
8 = Not applicable, no reported history of heart attack
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
HATTYEAR,a5,Original UDS question,Year of most recent heart attack,Numeric cross-sectional," 1900 - current year 
8888 = Not applicable, no reported history   
           of heart attack
9999 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
CVAFIB,a5,Original UDS question,Atrial fibrillation,Numeric longitudinal," 0 = Absent
1 = Recent/Active
2 = Remote/Inactive
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
CVANGIO,a5,Original UDS question,Angioplasty/endarterectomy/stent,Numeric longitudinal," 0 = Absent
1 = Recent/Active
2  = Remote/Inactive
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
CVBYPASS,a5,Original UDS question,Cardiac bypass procedure,Numeric longitudinal," 0 = Absent
1 = Recent/Active
2 = Remote/Inactive
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
CVPACDEF,a5,Original UDS question,Pacemaker and/or defibrillator,Numeric longitudinal," 0 = Absent
1 = Recent/Active
2 = Remote/Inactive
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
CVPACE,a5,Original UDS question,Pacemaker,Numeric longitudinal," 0 = Absent
1 = Recent/Active
2 = Remote/Inactive
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
CVCHF,a5,Original UDS question,Congestive heart failure,Numeric longitudinal," 0 = Absent
1 = Recent/Active
2 = Remote/Inactive
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
CVANGINA,a5,Original UDS question,Angina,Numeric cross-sectional," 0 = Absent
1 = Recent/Active
2 = Remote/Inactive
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
CVHVALVE,a5,Original UDS question,Heart valve replacement or repair,Numeric cross-sectional," 0 = Absent
1 = Recent/Active
2 = Remote/Inactive
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
CVOTHR,a5,Original UDS question,Other cardiovascular disease,Numeric longitudinal," 0 = Absent
1 = Recent/Active
2 = Remote/Inactive
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
CVOTHRX,a5,Original UDS question,Specification for other cardiovascular disease,Character cross-sectional, Any text or numbers
CBSTROKE,a5,Original UDS question,Stroke,Numeric longitudinal," 0 = Absent
1 = Recent/Active
2 = Remote/Inactive
9 = Unknown
- 4 =  Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
